DATE,ARRANCAPLUMAS,PUERTOSALGAR,PUERTOINMARCO,PUERTOBERRIO,BARRANCABERMEJA,PUERTOWILCHES,SANPABLO,GAMARRA,ELBANCO,MAGANGUEESPERANZA,PLATO,CALAMAR
23/02/2000,10.71620464,10.533,10.13974572,10.22246498,10.41538731,10.32448873,10.49596303,10.90041112,10.05248782,9.283701254,9.264993134,9.221124189
24/02/2000,11.35930531,11.431,11.46735091,11.45015116,11.64259613,11.48618442,11.57734711,12.61905154,11.02778478,12.17776332,11.7989955,11.65142559
25/02/2000,13.95208093,13.683,12.62772258,12.41978276,11.29450228,10.24248263,10.07023464,9.700951593,8.184680743,8.789764754,8.725001207,8.662097415
26/02/2000,10.92158356,11.64,14.14787064,14.47771986,15.49544124,14.94950583,14.92770797,14.61674809,12.03202189,12.14330275,11.74115632,11.59453881
27/02/2000,16.84236134,16.508,15.29810002,15.02745851,13.81079232,12.77390744,12.67488392,12.33014902,10.87944177,11.52039586,11.38380205,11.28339113
28/02/2000,10.79313106,10.598,9.731906952,9.557365272,8.912397785,7.94334558,7.781239243,7.331083375,6.263235263,6.14067982,6.263704563,6.28391185
29/02/2000,7.762278843,7.806,7.404760711,7.291517355,6.911265221,6.69502094,6.578593367,6.192657462,5.00302991,5.468329977,5.253015544,5.182867589
01/03/2000,6.12022847,6.384,6.849239659,6.754112951,6.241540426,5.814757401,5.655419853,5.248784712,4.346902843,3.903611903,3.766189297,3.720740255
02/03/2000,5.29087711,5.628,6.6940027,6.640736781,6.436450345,6.117347694,5.93856743,5.535702335,4.44060364,4.272877913,4.107497368,4.053130974
03/03/2000,5.309139887,5.288,5.744776891,5.947883815,5.640172556,4.743941944,4.72218445,4.511847459,3.717224917,4.326684039,4.157933214,4.102566263
04/03/2000,6.659379991,6.593,7.227516827,7.583893821,8.603822712,7.503609991,8.009828092,8.118674378,6.755545036,5.966268436,5.765414097,5.700399802
05/03/2000,3.447392179,3.368,4.901728702,5.464745401,6.296158716,6.131596254,6.287543633,6.200443328,5.354163802,4.348163593,4.189661755,4.135204874
06/03/2000,2.80116661,3.108,5.989016625,6.328150684,8.584204411,7.587026309,7.806442565,7.40093348,6.595619953,7.367722224,7.110989036,7.018828635
07/03/2000,10.81692841,10.996,11.16408084,11.05159012,10.54768626,9.030068321,8.873937938,8.288493866,6.948139285,6.572409654,6.514487901,6.448442012
08/03/2000,6.124582364,6.096,6.473531414,6.429091315,6.170108616,5.313003081,5.333805653,4.944427023,4.075665954,4.69848748,4.52482611,4.466607303
09/03/2000,4.441009004,4.386,4.444992028,4.419338503,4.313582068,3.889021495,3.777895069,3.466053141,2.802918212,3.101819807,2.986322941,2.946807756
10/03/2000,1.756977312,1.768,1.720352958,1.746490251,1.617735707,1.372916664,1.33981646,1.232492714,0.99096539,0.979031372,0.946072277,0.938747255
11/03/2000,1.936815934,2.073,3.147862987,3.201034444,3.380435864,2.959318294,2.921161436,2.760397467,2.216692523,2.556128369,2.453991015,2.421156527
12/03/2000,7.46961808,7.635,8.022573883,7.955099838,7.79255437,7.536319023,7.38396241,6.934989943,5.921729107,5.273593265,5.075524406,5.015800917
13/03/2000,4.330490151,4.447,4.638966684,4.586126803,4.43125471,4.269099259,4.175412386,3.973221854,3.591602324,3.039333887,2.956257477,2.929625143
14/03/2000,3.482156403,3.952,5.030496607,5.036616749,5.200413856,4.893200961,4.775727528,4.395685933,3.542587355,3.567050371,3.449179508,3.412700544
15/03/2000,2.096915806,2.359,2.546697265,2.507966494,2.209857827,1.924723154,1.864203684,1.724947558,1.40994897,1.396734157,1.343578514,1.326101928
16/03/2000,2.237055264,2.643,4.570932369,4.652672509,5.205146046,4.934829139,4.833542847,4.583571573,3.790124748,3.922334065,3.791184086,3.743094157
17/03/2000,2.437370238,2.424,2.320045392,2.279237666,2.187651416,1.906333687,1.915776497,1.819384597,1.632704468,1.982691418,1.948570062,1.95006287
18/03/2000,5.158972405,5.251,5.247839243,5.188684294,5.024925745,4.153930119,4.038340968,3.718639281,3.038155959,3.300541514,3.204942234,3.16463573
19/03/2000,8.980562948,9.064,7.660994435,7.492206369,6.905606365,6.215285682,6.04583034,5.838926096,4.920723647,4.33937036,4.241254721,4.203910995
20/03/2000,2.39012908,2.361,2.286317716,2.241559145,2.107094288,2.160536129,2.155843344,2.327886386,2.048027301,1.623966524,1.580566776,1.578276562
21/03/2000,6.409958729,6.472,6.349194215,6.252894537,5.813817399,5.176167353,5.012327465,4.610306741,3.742659089,2.995481825,2.881720951,2.845654153
22/03/2000,4.756760578,5.086,4.852184312,4.777837094,4.778296909,4.791622645,4.946303789,5.419397078,4.542226431,4.397081503,4.223092291,4.167893354
23/03/2000,16.02404493,15.862,14.54826228,14.2935994,13.61816147,12.91136898,12.67032365,12.87673259,10.57184601,8.518905409,8.179741564,8.070096912
24/03/2000,21.74242518,21.338,18.52045308,18.07065016,15.75997298,14.65238074,14.15236204,13.27151215,10.65778596,9.319563233,8.947816304,8.828080965
25/03/2000,6.722544603,6.547,5.677323387,5.576787097,5.218723606,5.236247541,5.078638115,4.802326989,3.847019766,3.390008659,3.254506471,3.21080175
26/03/2000,7.055664025,7.022,8.293035541,8.309420594,9.266636945,9.594731913,9.51273967,9.086015129,7.325409851,7.154852608,6.869097312,6.776869658
27/03/2000,22.61051346,22.051,18.46012814,18.02277778,15.70403282,14.20538765,13.74457379,12.64361886,10.09178876,7.840022751,7.527118248,7.426024937
28/03/2000,1.295729317,1.275,1.512937179,1.681721897,2.918235983,3.713537567,3.880224158,3.598710137,3.097968681,3.131041326,3.016309219,2.983527553
29/03/2000,1.857142063,1.897,4.29723293,4.415953465,4.40905663,3.913829927,4.08610988,4.733482847,4.255228209,4.234053134,4.09167303,4.070443341
30/03/2000,2.330671418,2.513,3.384929932,3.382038303,3.636135508,3.596285722,3.594200818,3.952060137,4.586998349,4.142715289,4.035253078,4.025806845
31/03/2000,1.153379662,1.173,1.293838709,1.277155383,1.197317008,1.279735832,1.260078738,1.337746219,1.471059257,1.45594724,1.557678292,1.586443413
01/04/2000,1.726407792,2.239,3.276664138,3.324192257,3.247325611,2.68433628,2.611527028,2.405983607,1.938135554,1.831781014,1.760018692,1.73638865
02/04/2000,1.442264931,1.606,2.349459576,2.383071522,2.343359069,2.140214226,2.102880161,1.935964422,1.558902052,1.858228587,1.78449938,1.760675579
03/04/2000,4.175719016,4.378,5.003971082,5.135284679,6.934104536,6.614613327,6.845175631,6.687330732,6.413545554,6.928178738,6.788923637,6.735673729
04/04/2000,12.45916954,12.876,12.86800501,12.85480054,14.20149862,14.95346812,15.51485932,15.62981473,13.99685985,13.3596636,13.44429575,13.30635548
05/04/2000,10.84390388,11.226,12.05344279,12.02282011,11.14670729,9.781155715,9.730362839,9.131982681,7.974375346,6.87225464,6.708465514,6.630391329
06/04/2000,2.487378557,2.502,3.970779883,3.986415133,4.018330042,4.236552268,4.159284398,3.952654141,3.399751152,3.246092387,3.133685581,3.105642256
07/04/2000,1.794356748,1.797,2.311365218,2.337645936,2.645328679,3.164232181,3.273297513,3.118161718,2.820086697,3.881941667,3.759748909,3.727505518
08/04/2000,0.570749833,0.598,0.851494068,0.874024052,0.799137359,0.655191122,0.646640979,0.607285675,0.501209898,0.926675896,0.889661279,0.877784631
09/04/2000,1.967323493,1.979,2.498332963,2.657147911,3.249492653,2.935037041,2.910396621,2.880475461,2.364945312,1.929280421,1.890662312,1.873326167
10/04/2000,4.0000867,4.118,5.662117558,6.116201207,7.39325315,6.855334045,6.773365373,6.332963918,5.090059947,4.413594532,4.237242861,4.180294395
11/04/2000,13.82782836,13.471,12.63583548,12.84141539,13.2702949,11.86956382,11.72237053,10.92152898,8.773534627,8.150019117,7.824791209,7.71962616
12/04/2000,7.808387691,8.022,7.950372295,7.889842155,7.480098466,7.7113932,7.557183019,7.398683254,6.421501501,6.790089891,6.650690876,6.577542717
13/04/2000,8.077564569,7.971,8.253903093,8.272122295,8.049988477,7.310891989,7.192286074,6.72916285,5.941897548,8.190956757,7.969679848,7.897203406
